name,lat,lng,url
"Echzeller Brunnen", 50.389966, 8.885388, "https://lh3.ggpht.com/YGCHeRwgKNC7gUi52P5oUV_KxLP-V8I5vW7wA0tC6CJuB2F0JSUn7TjZTH9yLMXpLipHu9VnZzkuv7tieS4"
"Bingenheimer Bahnhof", 50.380141, 8.886198, "https://lh6.ggpht.com/gwMfv3884oPCmKV4YNBG0SzW0xafmNF4rAnlZ960wyVw4IqGdKz4figlH0rmps1o8c4joOO2k_lBOC3Rxc0"
"Ortenberg - Altes Rathaus", 50.358066, 9.055789, "https://lh4.ggpht.com/utpUgUPB8pP97dZhTYSrgX1sQhC624QScl9iWKLdDosLNetShOvgU1SG45_y8bDBVDGIXtBZ7Moo4Ju6YATCb-csitBHim8y5OQNtyPiE5emrXtD"
"Friedberg Altes Rathaus", 50.339118, 8.754042, "https://lh6.ggpht.com/D6D-HAQQN1vKVrGZ9t_nbGcmZ6XbZMcJ5OEAmg7RQCaEgI5qAMKzGsbu0niKbjHtk8oI-bIEtkjABjV3HGk8"
"Wegekreuz", 50.334685, 8.721762, "https://lh6.ggpht.com/0wHNVvfb0qTh8NVdEbVC8j_QK6rLozqBQSLEiZxS6m43B7PjKMBx0Hg0Y9i_vGZ5UxhrRhbL_4aWi8KktT3QCQ"
"Friedberg - Denkmal deutsch-französischer Krieg 1870-1871", 50.329141, 8.770723, "https://lh3.googleusercontent.com/Y71p9Jimlxda3ziGBCwICf5Lv7E0Uh4ENZUo_JGKgoepXiYaobVfCoHHQInulqhPLLhE7x5Jc-8On-4dwufbKg"
"Friedberg - Street Art", 50.332274, 8.765144, "https://lh3.ggpht.com/Fg-xiGWkwXILH-reAJLC2b88XBjnAmXcoGhjtoKEVNSPqvPpEzb5DtfB-qV__ez8LxPyWY9KO-3_iArtJKZq"
"Haribo", 50.326585, 8.763539, "https://lh6.ggpht.com/K0y_cPlF6qA5oXonn1msB8B-vQFWEmKqQ0gWso7X2Z-8ZyFRiXtDy6B-kvdPAMwipgNfmLiTTQFzcfFzhLuhVg"
"Castle Gleiberg - School Well", 50.615076, 8.636248, "https://lh6.ggpht.com/0YmqpLDOq35Sx7ksYJNz8FoMMdBl9jNfPCSlsUUbhpGbnV8xEQR0Y5m5x5f5OdO5Uj_1ZPWjern8RRVGRChN"
"Watchtower Castle Gleiberg", 50.614988, 8.634881, "https://lh3.ggpht.com/lFQTHGYRTjbti749vIyCogBHrqay9QdmNCayhvHHxwsem-2vOV__XWLYFmszWRl1W4E7QqRa_ypfnHzkDlo"
"Die Drei Ladebalken aus Stein", 50.586872, 8.642875, "https://lh4.ggpht.com/wrA5QGK2KySZ88JqUzFYZKvsifVvwSQEi0UkKlaxzS6IX9G13QGVL3RUa97mMMup5JKAOXA1AJs2tlepBOKA"
"Obi Bieber", 50.584118, 8.649778, "https://lh5.ggpht.com/Fi1rSbTpIfNVtjTJYSQ5eFA_YURL37vuinmhAPLeg-wJHoiJym9dNvfRXLzSHnNd8QWnrLhOq1NucGZ5v5H8"
"Coat of Arms", 50.568612, 8.663865, "https://lh3.ggpht.com/QXNouJQFx_9zEESVIIFqK8arLOd40kjPxCtia4xk590co93-15ZJ7lYDgpc0X-trrLFXMBOB-Mj_84Bda0gke9XAzS9FfY6u-sFy_moIUZDQQK4b"
"Badenburg Alte Wehranlage", 50.628665, 8.690719, "https://lh3.ggpht.com/VFtFtueCyurCOJOJjAZv6PuvK0LYANdO7tkH0bYYUH34a2ppibQ_krLnlDsebjYvoexRXQfSXsuieSZy08N-eg"
"Kanufahrer", 50.604966, 8.700719, "https://lh3.ggpht.com/5yV6QzolVTLxwW6xNH8Fgy-Uima7VnNw27LKd13AF2C6fHQt8VkL1pWdcmVD6UB83TqL1uk-fpUzqv6etWs"
"Den Toten Des Großen Krieges", 50.605879, 8.707441, "https://lh5.ggpht.com/6upYoeK28mUwXzmxa42jOvYEgsxAcZHpb3jG3nAlo66jog7u0JvpjrhIHBaObCytRKGfMIjGXnnjwuJqZtADpUQiR0mVNSJ5SkAmLVkZnBExmpb1"
"Asteroids Zone", 50.609461, 8.701926, "https://lh4.ggpht.com/b8qls3StbpWRGsjVZGzso2I3FPsqMw5REBjmeT6l9UZwARDWwZcZuutGcyUcJMQ0mg1sN_17GCPqxXNTORs"

